number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
16219693,1183797820746,1000224744001510829210,0,112428215575843,2302457180693885351454651093163492,205553,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000,0,0
16222093,1164396427749,1016726069881673853774,85981656,81902646191461929,2318747899162385489001287554456344,205694,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000,0,0
16224493,1210476762644,977908712070632565698,185410374,145845552626375369,2280425969616657314568929983238151,205361,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000,0,0
16226893,1228211298452,963309178225331672390,258270144,198569438835161947,2266012770497242894086255374140612,205234,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000,0,0
16229293,1197003935247,988685103933705239425,53714418,46406680962780957,2270435262486917424056195007509857,205273,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,-1,80232540515899937,194030,216430,1203152593176,984206547870159101441,258270144,198569438835161947
16231693,1190522389460,994020224581258029501,82421244,72790512362005609,2275703596294866001551435142483199,205319,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,-1,80232540515899937,194030,216430,1203152593176,984206547870159101441,258270144,198569438835161947
16234093,1193942558223,991201917424676391293,130035097,110573401872338468,2272920569657780836424575412085603,205295,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,-1,80232540515899937,194030,216430,1203152593176,984206547870159101441,258270144,198569438835161947
16236493,1195821908977,989236726163542862202,24121504,21127472563664723,2275732877226366029629403759490668,205319,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,-1,80214824466272064,194100,216500,1199277254596,987026804701360790094,388305241,309142840707500415
16238893,1197040626999,988231654228344628816,39739123,33498396773645137,2274740167921692629443616837354464,205311,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,-1,80214824466272064,194100,216500,1199277254596,987026804701360790094,388305241,309142840707500415
16241293,1165598396999,1014445640756369521169,84597775,83897038979415573,2300631716006577619818717260285935,205537,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,-1,80214824466272064,194100,216500,1199277254596,987026804701360790094,388305241,309142840707500415
