number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
17237293,1411406543103,775040551244367493033,20648632,12228192824032192,1856588831285228640738816542598063,201248,33936118304214985613,2371985584563531636778738493839179,1141643096381116114250148853540654490699291,-1,33074118358573751,-887270,887270,1414713644839,773228779983258401372,143630210776,88109086067733548657
17239693,1401369396917,780591689530909292718,96325552,57206619784498220,1869886434007003936205740710780343,201391,17735184640166784539,2372764184945300871693305197927967,1142105855975205803602838395791321890527972,-1,33074118358573751,-887270,887270,1414713644839,773228779983258401372,143630210776,88109086067733548657
17242093,1389889175348,787039229169428209198,131851375,80394756849749351,1885331342099779055033514644172357,201555,19082433439783228119,2373129691624232660274652497747407,1142344426632766668052587671238599700021141,-1,33074118358573751,-887270,887270,1414713644839,773228779983258401372,143630210776,88109086067733548657
17244493,1393289145291,785273342691462200703,57269437,31932286769899039,1880915928882883051262884070017234,201508,19285519372214746741,2373718848983232219485197411771021,1142672928930437652640151949887551027017342,-1,33077376323688245,-887270,887270,1390026088079,787116756446937871780,143762062151,88189480824583298008
17246893,1407708405276,777229730502070337077,107361715,56051102851362591,1861649569679947420898318400811557,201302,25973575948230185130,2374234171568447419932015552403316,1142921050418164405905324836778068072073128,-1,33077376323688245,-887270,887270,1390026088079,787116756446937871780,143762062151,88189480824583298008
17249293,1403126123224,779767981187895314609,126869524,68115318654247582,1867729282165924324461383728012860,201368,18524066707844979066,2374434857481438642220933025963941,1143045160621714943910961525330356397419751,-1,33077376323688245,-887270,887270,1390026088079,787116756446937871780,143762062151,88189480824583298008
17251693,1402260071048,780388286127565714967,15796820,9032432403908527,1869048929214309313542956813234634,201382,18265906389737217500,2374597352283992744133712412216809,1143138073199687028698850864688311476502033,-1,33080316406448434,-887270,887270,1403250842519,779837290868808454318,143888931675,88257596143237545590
17254093,1404078371178,779377672937207109441,35702038,19604279614007597,1866628486038947705104528382510844,201356,18310838730265877178,2374802108327418806739752368964587,1143246821046810938854375630223719646691626,-1,33080316406448434,-887270,887270,1403250842519,779837290868808454318,143888931675,88257596143237545590
17256493,1406376283523,778104228840586463340,46741438,25098842984546351,1863578556449392031538434625661268,201323,27420357340978417904,2374915665675843076475381608708728,1143303341153993455122962271726629264301423,-1,33080316406448434,-887270,887270,1403250842519,779837290868808454318,143888931675,88257596143237545590
17258893,1410743600634,775746210378303311284,13325338,6181368467925338,1857870207979672951132848076883101,201262,28684533318695592725,2375052732962575387887576720301920,1143366924034890098429964558540172533901472,-1,33081399637982329,-887270,887270,1406422336760,778129708253388378458,143935673113,88282694986222091941
17261293,1402526091364,780291367658841037197,25928031,15436982243449966,1868755613785232690185652557661677,201379,20097267437575475732,2375182366967365283755698550567022,1143462129261915180149816108783753626834180,-1,33081399637982329,-887270,887270,1406422336760,778129708253388378458,143935673113,88282694986222091941
17263693,1415783860345,772984515970348465228,53451447,26955264879654130,1851256099273191187753267917130117,201190,29915981331513473191,2375465478720511304356360392619927,1143580608785792754282024902648959495253213,-1,33081399637982329,-887270,887270,1406422336760,778129708253388378458,143935673113,88282694986222091941
17266093,1414157235317,773929839651664735983,14140977,8197294576256206,1853452795145678329084733845153456,201214,31145276952549664366,2375610930561417406121760553912232,1143664924852993996118356190211294019775226,-1,33082600900953194,-887270,887270,1415835271104,773012584845494294146,143989124560,88309650251101746071
