number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
18298081,541074377665293973059670,999999999999999999999,0,0,3406050630791231974651774555,-62939,114276693690738244295996,2191355284850288656258362602793006558838,3705903201336554867054382462251522867,-1,23261005517072858769029,-887200,887200,541074377665293973059670,1000000000000000000000,0,0
18300481,544905446435702416917983,992969296241269078373,39906354648413333537,2231209424150820,3382103697818900233457697741,-63080,114276693690738244295996,2191939069966756712781949143364816751605,3705935841422702006561177513240912776,-1,23261005517072858769029,-887200,887200,541074377665293973059670,1000000000000000000000,0,0
18302881,542267788821966863777937,997799221747495862834,57981456908380330161,84387522220500234,3398554668636058633067922898,-62983,114277757346106109815320,2192203488397630012522539968409722147600,3707137695940784626440756669712966640,-1,23261005517072858769029,-887200,887200,541074377665293973059670,1000000000000000000000,0,0
18305281,544121362361528350127909,994400174470250110512,76704421954455949857,84387522220500234,3386977341513306518832812368,-63052,114277757346106109815320,2192477384332910214529536977902007043348,3707137695940784626440756669712966640,-1,23261005517072858769029,-887200,887200,541074377665293973059670,1000000000000000000000,0,0
18307681,555398765696008059696531,974428569240573617788,126121710675816340316,22546560013041878,3318578787923392760299227544,-63460,109952741882535600107391,2194322195158035285122445185973012118769,3707467489580265979652764736497199995,-1,23263628792927850397436,-887200,887200,544182726021453562511360,994512318632116749067,76704421954455949857,84387522220500234
18310081,554887503758818959138933,975326387689516155268,155614767715638689747,83410316301436752,3321636458186887869005491773,-63441,109952741882535600107391,2194753596782716295023431588945117580583,3708357757527449278429953878267984725,-1,23263628792927850397436,-887200,887200,544182726021453562511360,994512318632116749067,76704421954455949857,84387522220500234
18312481,557722137307134749933856,970369272462834999782,215093698182987685285,137928875483304295,3304754176653027471946270798,-63543,109952741882535600107391,2195623608568990510776526928194020873959,3709155212839544220091449066911847867,-1,23263628792927850397436,-887200,887200,544182726021453562511360,994512318632116749067,76704421954455949857,84387522220500234
18314881,576605235472235397066359,939085208482845055800,254084569643127631672,105667087933093682,3197369243773323935143798718,-64204,56198409405503270799560,2199339182830414593207564235050289332195,3710700422423720389217274462498165289,-1,23269753925766901927632,-887200,887200,557868981215653632409600,970624763158189311030,291798120137443635142,222316397703804529
18317281,556505738242910361131094,973002451826277065711,939852139242102929175,1644749319151478583,3312849659948834456554043771,-63494,11791792115828004689250,2209367420021284158572625451688337589793,3733207000971808355873117019878232612,-1,23269753925766901927632,-887200,887200,557868981215653632409600,970624763158189311030,291798120137443635142,222316397703804529
18319681,563509869849089475922137,960908542579308069517,1028071013881939950653,1674826304493779711,3271672679293675028973521885,-63744,11791792115828004689250,2210657477817568136533580545385644642987,3733646828044959809328034641790336589,-1,23269753925766901927632,-887200,887200,557868981215653632409600,970624763158189311030,291798120137443635142,222316397703804529
