number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,1183797820746,1000224744001510829210,0,112428215575843,2302457180693885351454651093163492,205553,31203981017892687890,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16222093,1164396427749,1016726069881673853774,85981656,81902646191461929,2318747899162385489001287554456344,205694,17540821031132433136,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16224493,1210476762644,977908712070632565698,185410374,145845552626375369,2280425969616657314568929983238151,205361,30523448134936311091,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16226893,1228211298452,963309178225331672390,258270144,198569438835161947,2266012770497242894086255374140612,205234,20905059435363221456,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16229293,1222745755031,967788844463818259667,311997877,244987623387169710,2270435262486917424056195007509857,205273,22227312718227892744,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16231693,1216262602556,973125287615698694199,340711819,271377994981735834,2275703596294866001551435142483199,205319,22737464002634911280,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16234093,1219683619133,970306281838850067234,388337475,309170250359907360,2272920569657780836424575412085603,205295,46555465465107464655,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16236493,1216226653650,973154947092884489504,412470287,330307627457087506,2275732877226366029629403759490668,205319,29001499457139979699,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16238893,1217445943006,972149403981181940034,428095228,342684351141334674,2274740167921692629443616837354464,205311,31485966568595190915,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16241293,1185988972927,998375679594300057650,472974910,393106620169450028,2300631716006577619818717260285935,205537,22618611010766339865,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16243693,1222265920738,968182961112724651295,547005103,439332471614646462,2270824349001401756389526076262986,205276,22381477162560579800,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16246093,1227958940766,963515631195956390176,578098346,462448920873433277,2266216588496224172254804411624938,205236,22728336445874518659,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16248493,1223551170756,967127611801705832643,677813198,545540383864711034,2269782469176920445513960727061014,205267,24520173141659983885,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16250893,1225359593829,965644311559483371693,693060791,557304518125604572,2268318100384631286503934121351000,205254,24021694853194625550,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16253293,1225398358818,965612536790571068288,700746759,563600814477595122,2268286731158999893110011846751513,205254,25077936307355277000,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16255693,1223444274381,967215350029588938270,704717547,567661270276446029,2269869087596540109532934287558589,205268,29040769306209328916,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16258093,1226262950306,964904079360379252216,718892186,578104969660156758,2267587315813470219639532896775164,205248,52934674799180299526,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16260493,1225102131641,965855369695373621836,745723070,600660471043246126,2268526464772877677599875107247126,205256,33919981157358144666,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16262893,1215431233492,973811400115093582172,777913016,631249283401757699,2276380951899290357379858535471998,205325,49644562439988786256,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16265293,1222191839762,968243820293962522718,812147794,656717577527618264,2270884431433260243759806907927190,205277,26634674985542752592,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16267693,1224199830445,966595349554556906162,824374824,665913786282098691,2269257000224747449767003218337749,205262,40454737982949317533,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16270093,1220966108416,969251253720334090577,835674777,676524119097575805,2271879006926403194390768592727484,205285,27835644005111215114,-1,80252429078701016,194350,216750,1184063958204,1000000000000000000000
16272493,1213028749509,976648866408851582680,26213680,16396589198966688,2261906885359996220194928071595333,205197,29663399384497135108,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16274893,1204181241566,983882889602361965327,36622196,28527457323397930,2269046418772473712656074338185071,205261,30471760488793203094,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16277293,1195587024665,990953672806336477773,105121902,88593037812989915,2276024844412917884940926155388337,205322,30145442851259332519,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16279693,1193330552474,992817371262241300821,145643618,123061537762789000,2277864199504929741569984152946834,205338,30318983097693550206,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16282093,1176138163040,1007116682084179943963,194192556,170830962817961162,2291976734764730524647172976596684,205462,44527166884556337562,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16284493,1173551950804,1009283040674234705172,246377052,215554228391293189,2294114796687310314301475091637603,205480,28481803172235453393,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16286893,1171418637299,1011073069889947376056,291045096,253950357692037156,2295881444796256987966137647897260,205496,29388705238004048072,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16289293,1172131092098,1010474953935862485019,306652369,266742873348250504,2295291141347609522084232124270962,205491,30354505090207648262,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16291693,1183113661835,1001293690169093608067,345110646,293691692261989549,2286229801941009335625930386336055,205411,32016602782266760500,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
16294093,1182986692842,1001399420135243919062,377089302,320388667302125044,2286334150877394754501952976104435,205412,33278324098993428204,-1,80276725675902833,194090,216490,1200686427382,987281116463166797468
