number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,1183962250722,1000169582066366620035,0,84833450303201,2302457180693885351454651093163492,205553,31203981017892687890,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16222093,1169322801896,1012620766155892610845,64878024,61800180940316797,2318747899162385489001287554456344,205694,17540821031132433136,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16224493,1204093021989,983330873241572458286,139902619,110048721998314351,2280425969616657314568929983238151,205361,30523448134936311091,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16226893,1217474732749,972314698853571656997,194879437,149831877477353750,2266012770497242894086255374140612,205234,20905059435363221456,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16229293,1213350670975,975694860508465287207,235420053,184857024253797525,2270435262486917424056195007509857,205273,22227312718227892744,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16231693,1208458765590,979721508824479100416,257086346,204770052897753622,2275703596294866001551435142483199,205319,22737464002634911280,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16234093,1211040116172,977594409454896035718,293022598,233286448021958241,2272920569657780836424575412085603,205295,46555465465107464655,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16236493,1208431640106,979743888578271089958,311232171,249235795081584966,2275732877226366029629403759490668,205319,29001499457139979699,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16238893,1209351662917,978985149402723121992,323022073,258574733427322027,2274740167921692629443616837354464,205311,31485966568595190915,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16241293,1185615599028,998774358343450597553,356886332,296621188508570719,2300631716006577619818717260285935,205537,22618611010766339865,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16243693,1212988608850,975992243820807463898,412746302,331501209072926458,2270824349001401756389526076262986,205276,22381477162560579800,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16246093,1217284314595,972470479301866910398,436207913,348943878062534806,2266216588496224172254804411624938,205236,22728336445874518659,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16248493,1213958402714,975195923049635595412,511448411,411641088546460727,2269782469176920445513960727061014,205267,24520173141659983885,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16250893,1215322960250,974076689085645309594,522953583,420517793509446289,2268318100384631286503934121351000,205254,24021694853194625550,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16253293,1215352210627,974052713224553756594,528753081,425268705377388306,2268286731158999893110011846751513,205254,25077936307355277000,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16255693,1213877743350,975262126507163490598,531749265,428332549034924539,2269869087596540109532934287558589,205268,29040769306209328916,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16258093,1216004593827,973518142006036395712,542444832,436212911167434992,2267587315813470219639532896775164,205248,52934674799180299526,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
16260493,1215128690461,974235944391712614202,562690252,453232313244089770,2268526464772877677599875107247126,205256,33919981157358144666,-1,60554998752661632,188750,222350,1184163066494,1000000000000000000000
