number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
16219693,1183319938511,1000385060929863025667,0,192626779969168,2302457180693885351454651093163492,205553,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,-1,137498998084745306,199790,211310,1183775920146,1000000000000000000000,0,0
16222093,1150078924761,1028657298937353615262,147315061,140326366704384344,2318747899162385489001287554456344,205694,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,-1,137498998084745306,199790,211310,1183775920146,1000000000000000000000,0,0
16224493,1229029804532,962150305085727375690,317669397,249881749268631608,2280425969616657314568929983238151,205361,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,-1,137498998084745306,199790,211310,1183775920146,1000000000000000000000,0,0
16226893,1259414939699,937136466884461376365,442502320,340215233401964672,2266012770497242894086255374140612,205234,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,-1,137498998084745306,199790,211310,1183775920146,1000000000000000000000,0,0
16229293,1191748114333,991880083582563598493,94258229,81434588842880093,2270435262486917424056195007509857,205273,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,-1,140792312942444324,199630,210830,1202925889943,984021099401040753682,442502320,340215233401964672
16231693,1180374277521,1001242169975017942440,144633057,127733018670665289,2275703596294866001551435142483199,205319,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,-1,140792312942444324,199630,210830,1202925889943,984021099401040753682,442502320,340215233401964672
16234093,1186376000359,996296595765277717092,228185994,194034551310709145,2272920569657780836424575412085603,205295,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,-1,140792312942444324,199630,210830,1202925889943,984021099401040753682,442502320,340215233401964672
16236493,1192983621742,989877164862224289295,39815674,34873636449549434,2275732877226366029629403759490668,205319,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,-1,132404982085371011,199290,211310,1198687118293,986541111883299707920,670688314,534249784712673817
16238893,1194995274064,988218163144525761276,65594582,55293452977237001,2274740167921692629443616837354464,205311,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,-1,132404982085371011,199290,211310,1198687118293,986541111883299707920,670688314,534249784712673817
16241293,1143095791299,1031487751275192142015,139639611,138482955201827271,2300631716006577619818717260285935,205537,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,-1,132404982085371011,199290,211310,1198687118293,986541111883299707920,670688314,534249784712673817
16243693,1245291785577,945491719472443839954,126438536,78950610534402609,2270824349001401756389526076262986,205276,22381477162560579800,2183939965796505454835889521331865,1028562139954972334987427352026940913246314,-1,137065691048308312,199770,211310,1183333225840,997796776361227360101,810327925,672732739914501088
16246093,1255015076612,937520237391011497411,179543679,118431933761784910,2266216588496224172254804411624938,205236,22728336445874518659,2184071805819877941021375063327361,1028660157175870081224028336144565927779387,-1,137065691048308312,199770,211310,1183333225840,997796776361227360101,810327925,672732739914501088
16248493,1247486905201,943689254621563194069,349849865,260346501655369794,2269782469176920445513960727061014,205267,24520173141659983885,2184494611788140767301365371922731,1029012477473488332647613239790931422352185,-1,137065691048308312,199770,211310,1183333225840,997796776361227360101,810327925,672732739914501088
16250893,1201928441819,980915244402530368925,25028828,19310753405156050,2268318100384631286503934121351000,205254,24021694853194625550,2184559263873426386784046276360862,1029062359171737575891830113406204068903210,-1,131733864450630716,199230,211310,1198959926560,984042770038588370301,1160177790,933079241569870882
16253293,1201992074306,980863086316489900328,37645298,29646084805040814,2268286731158999893110011846751513,205254,25077936307355277000,2184591853536041887866134837387376,1029089056415049549841424095120802400250974,-1,131733864450630716,199230,211310,1198959926560,984042770038588370301,1160177790,933079241569870882
16255693,1198784456827,983494094304564547308,44163320,36311297807989845,2269869087596540109532934287558589,205268,29040769306209328916,2184608690270727064184641994544966,1029106273358210931859729188393774964221594,-1,131733864450630716,199230,211310,1198959926560,984042770038588370301,1160177790,933079241569870882
16258093,1203162221062,979497385412769487160,23262766,17139719536054413,2267587315813470219639532896775164,205248,52934674799180299526,2184668792871806407698302801207641,1029150556214025984227733343164187893285505,-1,131706598970230571,199230,211310,1198536339650,983770192261958326812,1204341110,969390539377860727
16260493,1201257138808,981058599398361008756,67296380,54156771970962679,2268526464772877677599875107247126,205256,33919981157358144666,2184782559854102670656604383249535,1029246194931580555531661313323806387162158,-1,131706598970230571,199230,211310,1198536339650,983770192261958326812,1204341110,969390539377860727
16262893,1185385705149,994115670940175739736,120125041,104357725244629331,2276380951899290357379858535471998,205325,49644562439988786256,2184919050067728426446156795514439,1029375896095646843902986329258884743891029,-1,131706598970230571,199230,211310,1198536339650,983770192261958326812,1204341110,969390539377860727
16265293,1206108725548,975979295130116832189,56636648,42133728665211085,2270884431433260243759806907927190,205277,26634674985542752592,2185064210672556933699567706035662,1029483885492429931814336709810509721543337,-1,132766413597079919,199350,211310,1194924248534,986440949161047991580,1324466151,1073748264622490058
16267693,1209430665141,973252130974425299813,76864558,57347569156258289,2269257000224747449767003218337749,205262,40454737982949317533,2185116055117756376728453349939139,1029522878800390801662519427537219012409825,-1,132766413597079919,199350,211310,1194924248534,986440949161047991580,1324466151,1073748264622490058
16270093,1204080924562,977645952756467347883,95558751,74900880017426623,2271879006926403194390768592727484,205285,27835644005111215114,2185163968621239703633104609626768,1029567868207013356917879692141766935390770,-1,132766413597079919,199350,211310,1194924248534,986440949161047991580,1324466151,1073748264622490058
16272493,1216902074401,966202431168588765574,43084966,26949535007786603,2261906885359996220194928071595333,205197,29663399384497135108,2185275084927974608705752291413103,1029637371168613714066232513756297486639366,-1,131943320812694603,199270,211310,1196616157725,983934280620369119516,1420024902,1148649144639916681
16274893,1202360255846,978092316249867391947,60192467,46887904581307715,2269046418772473712656074338185071,205261,30471760488793203094,2185319205242322962239106233698814,1029688792305729503679155523946433842588600,-1,131943320812694603,199270,211310,1196616157725,983934280620369119516,1420024902,1148649144639916681
16277293,1188234748009,989713899078812655451,172779007,145612062668362549,2276024844412917884940926155388337,205322,30145442851259332519,2185609566391265181882051750603396,1029943402315385314572968641726860203490532,-1,131943320812694603,199270,211310,1196616157725,983934280620369119516,1420024902,1148649144639916681
16279693,1189361763354,988381449458549018553,66873639,56883920345161444,2277864199504929741569984152946834,205338,30318983097693550206,2185781332556535506787555101866711,1030089509703901444040088708606953697919504,-1,132481972687211499,199330,211310,1193922650414,985305757897825701962,1592803909,1294261207308279230
16282093,1160988886305,1011979832299999131451,146994733,135718571511592947,2291976734764730524647172976596684,205462,44527166884556337562,2185987125048417094131997345335928,1030291997945510253924596438562495654682064,-1,132481972687211499,199330,211310,1193922650414,985305757897825701962,1592803909,1294261207308279230
16284493,1156720818619,1015555008755464510641,233115647,209526096647706367,2294114796687310314301475091637603,205480,28481803172235453393,2186208328189786161806190823770175,1030481573922078707664583359257287880025585,-1,132481972687211499,199330,211310,1193922650414,985305757897825701962,1592803909,1294261207308279230
