number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16956493,1482026759900,817095685919242375273,24039845,14785430497630272,1860321562015453224979957136398285,201288,28699244804547559788,-1,34798817105349592,-887270,887270,1487579248111,814045823053312986042
16958893,1483817677360,816109479222427695898,31822436,18570392469556868,1858076217174812720667177357056662,201264,105272424743025279324,-1,34798817105349592,-887270,887270,1487579248111,814045823053312986042
16961293,1483640706432,816206826006753138411,36901740,21405384231741979,1858297851342015247427690691129374,201266,105417608130821499190,-1,34798817105349592,-887270,887270,1487579248111,814045823053312986042
16963693,1468985089544,824391995038922557426,18154300,14176464086771851,1876885473190147563240752303796040,201465,28964693264215756029,-1,34799706157555878,-887270,887270,1483678612236,816227678740834599195
16966093,1466913131936,825556416591470925067,39973143,27012278619106799,1879536500747182932687720021026235,201494,30078152802344604242,-1,34799706157555878,-887270,887270,1483678612236,816227678740834599195
16968493,1478186515663,819260313782867938275,58508662,34164475164355943,1865202222915408611311900067332084,201341,28491079945485602463,-1,34799706157555878,-887270,887270,1483678612236,816227678740834599195
16970893,1471343450897,823137510022183790336,43822330,26152618851771194,1873953239802948018506596707862159,201434,28935396807838964348,-1,34801120449772854,-887270,887270,1478246591434,819293609279106171444
16973293,1478588644717,819104075285915967719,82265380,45551579893688677,1864770730198496713005086759217376,201336,29481905048757855612,-1,34801120449772854,-887270,887270,1478246591434,819293609279106171444
16975693,1504718870204,804879907164927991551,131490007,65081666824026259,1832388016971020470175285816396883,200986,30777592368250657170,-1,34801120449772854,-887270,887270,1478246591434,819293609279106171444
16978093,1508182391899,803166619399222508539,39599855,20286406902072834,1828333748823952944032808934459252,200941,28869931804776653874,-1,34804047941862415,-887270,887270,1504845449704,804947614167772129789
16980493,1521822775494,795967686017512912664,81780745,38891986342988198,1811946049759516771171250361985470,200761,34392017857879363515,-1,34804047941862415,-887270,887270,1504845449704,804947614167772129789
16982893,1523421096189,795132584266784294780,110313755,53366687530021889,1810045018668731154479893167058439,200740,32726665775491333004,-1,34804047941862415,-887270,887270,1504845449704,804947614167772129789
16985293,1520518341883,796761694189226879191,43692955,23774939071350315,1813627010938985724414903226958531,200780,32720668529810091608,-1,34806475979689929,-887270,887270,1523527376389,795188055170505429447
16987693,1512354656515,801062611144685846778,62223784,35696324479738233,1823416963466966227479678393563849,200887,20085116196569678279,-1,34806475979689929,-887270,887270,1523527376389,795188055170505429447
16990093,1505695127075,804605625892986447935,94671319,54814251363415213,1831481742803793995585792078736934,200976,30987298192987811403,-1,34806475979689929,-887270,887270,1523527376389,795188055170505429447
16992493,1503239734939,806025447554117587438,24571635,13833148849828449,1834593443151240509391725083048150,201010,33333972185575653560,-1,34808755797011633,-887270,887270,1505793750086,804658327403019284707
16994893,1504728198996,805228134186731179818,37327948,20242020950296438,1832778679262106935972243512621390,200990,33649294855747626560,-1,34808755797011633,-887270,887270,1505793750086,804658327403019284707
16997293,1500678384389,807401167858310581980,61531459,34380954328384076,1837724718295643491503005116696242,201044,23735083850713252332,-1,34808755797011633,-887270,887270,1505793750086,804658327403019284707
16999693,1504179389246,805589256654760891385,11470287,5245565279880433,1833524003526270749925377059830047,200998,23894243242605084111,-1,34810210514418449,-887270,887270,1500741101594,807434910533286284506
17002093,1507716144651,803699529488210090907,22859375,10397961222836570,1829222977797136105050387482724668,200951,22070887161271239430,-1,34810210514418449,-887270,887270,1500741101594,807434910533286284506
17004493,1504734115838,805292272769888782662,28529625,14227688377463074,1832848067151653910251752371155888,200991,27980339715259702852,-1,34810210514418449,-887270,887270,1500741101594,807434910533286284506
17006893,1499633339112,808060948517658556314,8388584,5893378273391115,1839115902946137112232191667093578,201059,110467404502425433723,-1,34810847999318645,-887270,887270,1504761673782,805307020214863950773
17009293,1492171146773,812101977076782496689,24527386,16676243168470067,1848313129839699761950575930883284,201159,63227250678744894075,-1,34810847999318645,-887270,887270,1504761673782,805307020214863950773
17011693,1492673554386,811828637862774019352,37141458,23406918584790777,1847691020212568334437045139735489,201152,28626058623690956074,-1,34810847999318645,-887270,887270,1504761673782,805307020214863950773
17014093,1500772916429,807490736829153726591,20868404,9054048323210231,1837768767122146181534126608719333,201044,28391654510842007990,-1,34811782891732603,-887270,887270,1492713643872,811850440619058114896
17016493,1501735702778,806973041833236108026,32411082,15003217882395220,1836590544696798259208926481377709,201031,28393811313281910446,-1,34811782891732603,-887270,887270,1492713643872,811850440619058114896
17018893,1501145220070,807290468569231367522,46397481,22684957531487182,1837312976440786227451959439981586,201039,28384801379067632012,-1,34811782891732603,-887270,887270,1492713643872,811850440619058114896
17021293,1522106763703,796219927990418035537,42731681,17008993493177928,1812064062393808307437859773104184,200762,34599352350292223935,-1,34812809966875837,-887270,887270,1501189509571,807314286595909764418
17023693,1526278440472,794043672277038231733,74589341,32490873587927322,1807111266526531044160386815642729,200708,32397787453241050009,-1,34812809966875837,-887270,887270,1501189509571,807314286595909764418
17026093,1519965880100,797341409867404503873,92355989,43415937873741293,1814616368527419157124644842774436,200791,24694169042079181625,-1,34812809966875837,-887270,887270,1501189509571,807314286595909764418
17028493,1515791720813,799629231611219296353,25248211,14426434642038555,1819718244847806506344375128495552,200847,33200643464522289505,-1,34814815366402280,-887270,887270,1520053439197,797387340893578017887
17030893,1505337913002,805182250793857462734,50168327,30527854081558992,1832355264507875104990263379911800,200985,79563901045899134252,-1,34814815366402280,-887270,887270,1520053439197,797387340893578017887
17033293,1522424214619,796145619175943191902,106797804,55758970724421443,1811790579305018109228807411220329,200759,25891253669559506878,-1,34814815366402280,-887270,887270,1520053439197,797387340893578017887
17035693,1521116813289,796941614501884405476,41220758,21895076741172795,1813474916981388500296724695631506,200778,35109763910155056431,-1,34817255621729396,-887270,887270,1522530926677,796201422964299031454
17038093,1553954126952,780101077633422898661,102356125,44776494231875171,1775153551094950617022454663952380,200351,50936225892331105333,-1,34817255621729396,-887270,887270,1522530926677,796201422964299031454
17040493,1563018830617,775576893433579381395,202632503,92568735097325360,1764858575381644668027164749268240,200234,25883434352080040185,-1,34817255621729396,-887270,887270,1522530926677,796201422964299031454
17042893,1600823846217,757449453634421950582,101538993,39618818485775809,1723394249788292895086215656004879,199759,16705980335531957702,-1,34821590252062574,-887270,887270,1563213422171,775673450128469808950
17045293,1602213642196,756792425022604189991,130383473,52929973996196856,1721899339037324660071964453776912,199742,23544603024404269246,-1,34821590252062574,-887270,887270,1563213422171,775673450128469808950
17047693,1592902568458,761216141961662571914,208766787,92808568942331338,1731964444106558580190979178246233,199858,19123940746702487824,-1,34821590252062574,-887270,887270,1563213422171,775673450128469808950
17050093,1590321745762,762644362627050775281,26917332,13497721875783583,1734994559117245025955300072593438,199893,21014053653387577959,-1,34825994805163160,-887270,887270,1593104055702,761312427538915753331
17052493,1597956062870,759000790041006720772,41926816,18823645424441755,1726705533560484213280539738162748,199797,39178145986967884121,-1,34825994805163160,-887270,887270,1593104055702,761312427538915753331
17054893,1592498652471,761601846435886149778,63769658,30530703016784722,1732622863988952599543174756023699,199866,41618696985386746640,-1,34825994805163160,-887270,887270,1593104055702,761312427538915753331
17057293,1595171149854,760386810189079946347,17403838,7701241061486389,1729789386153493623950474160004736,199833,41566392061204966711,-1,34827390116739746,-887270,887270,1592562457549,761632360190885157904
17059693,1592496484308,761663912162358968425,25971481,12430275440160307,1732694640964350232041069177223713,199867,47913315547655392731,-1,34827390116739746,-887270,887270,1592562457549,761632360190885157904
17062093,1603225289417,756566847061401885718,71357917,31356230546196556,1721099425221488353189891201764648,199732,25939036928636510267,-1,34827390116739746,-887270,887270,1592562457549,761632360190885157904
17064493,1594653252525,760699141637245485976,25903038,14375719366351373,1730425535790789025343329369317934,199840,84226560686696467795,-1,34828886867157083,-887270,887270,1603294191850,756599361462862549941
17066893,1583975227787,765827229570535633611,51866590,29417740233412629,1742090823450305695924030790038635,199975,20844038748010315137,-1,34828886867157083,-887270,887270,1603294191850,756599361462862549941
17069293,1588145128058,763816441566796536263,80020782,41963568268078235,1737516716923455956944533512995695,199922,22229631086710910683,-1,34828886867157083,-887270,887270,1603294191850,756599361462862549941
17071693,1594423447491,760888915093893223880,18177095,7261912173751291,1730766083655708343444734066703066,199844,36539066671861308329,-1,34830721025587868,-887270,887270,1588228763791,763856665659263686239
17074093,1598311353447,759038046339213540391,40186661,16778068843200033,1726555980443070039159952507888688,199796,35536510156520402450,-1,34830721025587868,-887270,887270,1588228763791,763856665659263686239
17076493,1592582432826,761768497602638672412,72268319,33514213946889856,1732766837699714314463325776862977,199867,37109298470814664918,-1,34830721025587868,-887270,887270,1588228763791,763856665659263686239
17078893,1587979539939,764044827223774654496,15432055,8491011774600353,1737867063230383448494582264006804,199926,22852164113508371790,-1,34832277462550342,-887270,887270,1592653600952,761802537800820225527
17081293,1559191055208,778151945635494354870,102219907,59088324763639850,1769954573768084157870930124233280,200292,17104829211212660234,-1,34832277462550342,-887270,887270,1592653600952,761802537800820225527
17083693,1545676392522,784955737887628763481,148885400,86094015011501591,1785430218702440089576230999440336,200466,32928072902685641739,-1,34832277462550342,-887270,887270,1592653600952,761802537800820225527
17086093,1540915884418,787542989328485831036,56347104,30254874150065717,1791130596204144629575803158058839,200530,31609956780433204925,-1,34835865166793938,-887270,887270,1545835598918,785036587870374878560
17088493,1545066329200,785427446695360318896,92130104,47448800976364906,1786319159636096030225212098011542,200476,31819124613840472863,-1,34835865166793938,-887270,887270,1545835598918,785036587870374878560
17090893,1535392521579,790376066617139276304,159481673,84681057828558113,1797573941496882318261806153126985,200602,19016595578299678234,-1,34835865166793938,-887270,887270,1545835598918,785036587870374878560
17093293,1521923316995,797539250974984595060,31627875,19884522579394497,1813674017516410330565374127598210,200780,47596730716535128368,-1,34839540500380468,-887270,887270,1535554513759,790459454691175023201
17095693,1522422530932,797277731783275220092,72910003,41327665744884736,1813079299999366064731440400963616,200774,32817112879425924415,-1,34839540500380468,-887270,887270,1535554513759,790459454691175023201
17098093,1497653630894,810463485841185700926,152482778,90616951422896329,1843064858085640006490336480567813,201102,31258591601745406912,-1,34839540500380468,-887270,887270,1535554513759,790459454691175023201
17100493,1499548251640,809612417772899525133,12975498,6525817712711758,1840932825678684798029916968471892,201079,29230661271567328080,-1,34843261695456033,-887270,887270,1497813597101,810550051068198515631
17102893,1504600841839,806893663633310817737,29716600,14185743180585393,1834750801254841781789679522737239,201011,20720400316710326309,-1,34843261695456033,-887270,887270,1497813597101,810550051068198515631
17105293,1509096823882,804489722835851163099,47875539,22665044701134501,1829284613449564013981949487959158,200952,20696937528132592462,-1,34843261695456033,-887270,887270,1497813597101,810550051068198515631
17107693,1508960646425,804610516183248576092,16263772,8778196717816776,1829504487965059719366663033072004,200954,20785272225180425087,-1,34844305196407916,-887270,887270,1509142019078,804513816039262982041
17110093,1501936545135,808373435317695212849,28962300,17452042304279768,1838060525085946464369574926863464,201047,91358497246884658322,-1,34844305196407916,-887270,887270,1509142019078,804513816039262982041
17112493,1503947856751,807292353368227607916,54402130,30631863739094182,1835602386348472458120018720141480,201021,21577813215316209023,-1,34844305196407916,-887270,887270,1509142019078,804513816039262982041
17114893,1499292626753,809858975612374647493,34266090,19691312956530158,1841370075408523496193931093881358,201083,20974301633325761031,-1,34845596434066961,-887270,887270,1504003591618,807322269484581567362
17117293,1493135412942,813198575508227232976,74156567,42956135840114987,1848963297805559320431785741395856,201166,18580805209026133260,-1,34845596434066961,-887270,887270,1504003591618,807322269484581567362
17119693,1496211622028,811526640328872115572,110314904,61860076336679409,1845161831747892460157404438527629,201124,22150021451797380314,-1,34845596434066961,-887270,887270,1504003591618,807322269484581567362
17122093,1485972642153,817240937574052991621,18954056,13211086256926218,1858015075843195659357831468132895,201263,15800114187188792766,-1,34848209068509828,-887270,887270,1496323805264,811587486538115211764
17124493,1486194754998,817118800344304608593,48342756,29313936306458109,1857737394190502316950922736598712,201260,23601880273777518880,-1,34848209068509828,-887270,887270,1496323805264,811587486538115211764
17126893,1507968085736,805320541441832927296,100129702,51343842988629964,1830913795540921437900440318852754,200969,17533724975326910196,-1,34848209068509828,-887270,887270,1496323805264,811587486538115211764
17129293,1507409400916,805723872581686859696,13669545,7494082522450676,1831711574677580878540633340017357,200978,104602448709519194688,-1,34850476898777450,-887270,887270,1508066221512,805372949595589958655
17131693,1539068751849,789149762551222474669,98245868,42991639129767629,1794032426503026182825274303718221,200562,13991691426574998319,-1,34850476898777450,-887270,887270,1508066221512,805372949595589958655
17134093,1528706963593,794498729316377824391,238634205,121028560664190106,1806192627621192038029689833472341,200698,19582548415113195829,-1,34850476898777450,-887270,887270,1508066221512,805372949595589958655
17136493,1512708063917,803149270788341924838,56607178,34031816672518169,1825577007896534116370444907748076,200911,22737453703045396286,-1,34855851423408177,-887270,887270,1528942717129,794621254267820950403
17138893,1518941596029,799853254151915369767,106891767,59036055669749191,1818085085276472975997068916190563,200829,58435191525936819152,-1,34855851423408177,-887270,887270,1528942717129,794621254267820950403
17141293,1523335394230,797546215398227969439,146222032,78404280984992706,1812841132429545821878652076188759,200771,22976537977765383251,-1,34855851423408177,-887270,887270,1528942717129,794621254267820950403
17143693,1523592019644,797566819833514184848,18306488,9545445774532747,1812711868590292023301441756171010,200770,23155684873725345639,-1,34859237539441937,-887270,887270,1523483383374,797623694040043943802
17146093,1514269911409,802476779519673843938,48928735,28159050712590181,1823871237280252515899255454291051,200892,21966145857550742544,-1,34859237539441937,-887270,887270,1523483383374,797623694040043943802
17148493,1515935927368,801594856281547988845,63543261,35434885926967567,1821866799932582974876902771292324,200870,19350706656086552391,-1,34859237539441937,-887270,887270,1523483383374,797623694040043943802
17150893,1519990145750,799525640054771397458,12802384,5683085022439699,1817085636439961105880284697232283,200818,21205650478267001067,-1,34860738577344228,-887270,887270,1516001206273,801629372936142036396
17153293,1516936071124,801135339379741870675,25708867,13267561732324477,1820744007573863170613213318292761,200858,25151145373971714599,-1,34860738577344228,-887270,887270,1516001206273,801629372936142036396
17155693,1518597575143,800258813822592441894,35767753,18117876692234131,1818751923868130291192580037018027,200836,23201665827407882421,-1,34860738577344228,-887270,887270,1516001206273,801629372936142036396
17158093,1521303229240,798872445022158634852,9375419,4229561338648175,1815559185082835064650706096620681,200801,23439234498524721077,-1,34861543717450075,-887270,887270,1518632650254,800277296519527763644
17160493,1528940466564,794881983269502586222,36380881,16308625120023124,1806490253574557191514377444370836,200701,18223156085778551047,-1,34861543717450075,-887270,887270,1518632650254,800277296519527763644
