number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
18538091,495325671850762132868003,1000000000004828194359,0,0,3569052108798554641180382931,-62004,20554158956052758236662,2328526706938440108085869956567652544683,3963144992494020855209140771526366387,-1,329216450915045254220513,-63400,-60600,495325671853035795572830,1000000000000000000000,0,0
18540491,359984374101726004983112,1279830556583509869829,1648845826722812695747,6264244589923580933,3636395222277394586616688368,-61630,20840860746055537766905,2330230975236836095449405496170357048990,3969619796441715877867183447854662228,-1,329216450915045254220513,-63400,-60600,495325671853035795572830,1000000000000000000000,0,0
18542891,489638975015271227212580,1011549009942999823449,3680733636391107580209,7770005836189258991,3571831456044772402326819836,-61989,20733555355713724412414,2332331160665814398283503319383992166228,3971176170673541031768399401602112379,-1,329216450915045254220513,-63400,-60600,495325671853035795572830,1000000000000000000000,0,0
18545291,196164723599797170108844,1632999765867732295692,4516196904362790473958,15838192269939943828,3721387777875489922457805324,-61168,26436626550116073224700,2333194706267836178268798109320682694581,3979515552161936210848058989862770903,-1,329216450915045254220513,-63400,-60600,495325671853035795572830,1000000000000000000000,0,0
