number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
16219693,1180390798224,1001367710503069322285,0,684197357625669,2302457180693885351454651093163492,205553,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,-1,488387186770279948,204090,207010,1182010414295,1000000000000000000000,0,0
16222093,1062320954683,1101788797031044590070,523253184,498429809810027588,2318747899162385489001287554456344,205694,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,-1,488387186770279948,204090,207010,1182010414295,1000000000000000000000,0,0
16224493,1342749165808,865560431150699779983,1128340318,887563155008057868,2280425969616657314568929983238151,205361,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,-1,488387186770279948,204090,207010,1182010414295,1000000000000000000000,0,0
16226893,1450675120836,776712961426492371373,1571738459,1208421610717276980,2266012770497242894086255374140612,205234,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,-1,488387186770279948,204090,207010,1182010414295,1000000000000000000000,0,0
16229293,1161056332321,1010394977715716672981,330246232,285316903666326553,2270435262486917424056195007509857,205273,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,-1,493284577960644159,203790,206670,1201506471344,982859982276422151342,1571738459,1208421610717276980
16231693,1121206583608,1043196291497818061164,506741135,447529605059873381,2275703596294866001551435142483199,205319,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,-1,493284577960644159,203790,206670,1201506471344,982859982276422151342,1571738459,1208421610717276980
16234093,1142234417126,1025868815048006146087,799479956,679825835322514734,2272920569657780836424575412085603,205295,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,-1,493284577960644159,203790,206670,1201506471344,982859982276422151342,1571738459,1208421610717276980
16236493,1173526003592,994943788476512035706,150969540,132230759002453773,2275732877226366029629403759490668,205319,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,-1,502041457654786839,203890,206710,1195152015519,983631658558330343709,2371218415,1888247446039791714
16238893,1181153608295,988653333030748358605,248715716,209656806671820429,2274740167921692629443616837354464,205311,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,-1,502041457654786839,203890,206710,1195152015519,983631658558330343709,2371218415,1888247446039791714
16241293,984365756598,1152719116320047481909,529473084,525087376584067425,2300631716006577619818717260285935,205537,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,-1,502041457654786839,203890,206710,1195152015519,983631658558330343709,2371218415,1888247446039791714
