number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
15459693,1641846679547,998732691263652703322,1038417,0,1957536232458660731727425249394135,202307,14902911157195816200,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15462093,1172028815032,1291207745871056289773,1552913484,1123409605281859388,1996221195089388752399889927750877,202698,16844312389152137651,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15464493,971773849937,1419415758983894861385,2623618207,1875007065545566993,2013178956505614845643215841242294,202868,14639123224850241930,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15466893,1027406727113,1383580264665911222928,3439400645,2382036377086363593,2008439083013136245356573088082413,202820,17112973343710079186,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15469293,988394645692,1408691894627694628495,4170095238,2865029296146184958,2011760537104228739115334429350506,202853,15382976177431355014,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15471693,1109377611981,1331085765707221544184,4763880501,3207519678556542488,2001495763579410098953353908663047,202751,22543328996098802134,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15474093,1159156471400,1299383936261656687242,5468276456,3641971751637748128,1997302639864727508230644299053368,202709,22761749047123524143,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15476493,1094560288134,1340547950738831665526,6133030303,4103458014518504223,2002747303731592382513600503751774,202764,25859747950223083208,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15478893,1358722661195,1173612168478045442479,7461848637,4856261101669524871,1980667114680398024466802258349960,202542,22499016672115685342,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15481293,1723668744835,948951233472443486712,0,0,1950951760367729308719556332907914,202240,13734669754974059813,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
15483693,1837384887051,880318625104671222428,1930089655,1141062823188116774,1941873892535477427780471397771952,202146,13469232673433874045,-1,598999186815748623,200910,203710,1639770882974,1000000000000000000000
