number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
16219693,1182326596032,1000718301221328043861,0,359330279404267,2302457180693885351454651093163492,205553,31203981017892687890,2181620581902003936411883992456929,1026699780925062056301321001565722942741084,-1,256493689026555015,202670,208430,1183177194313,1000000000000000000000,0,0
16222093,1120318069697,1053457962779506103495,274804792,261767925330750984,2318747899162385489001287554456344,205694,17540821031132433136,2181985157052788187585985499073660,1027046583748145707407639599439896464086763,-1,256493689026555015,202670,208430,1183177194313,1000000000000000000000,0,0
16224493,1267594796702,929394337322713922700,592587558,466134972494979460,2280425969616657314568929983238151,205361,30523448134936311091,2182406749771601875934982373447527,1027317711286579945199071017760952647928490,-1,256493689026555015,202670,208430,1183177194313,1000000000000000000000,0,0
16226893,1324275903612,882732967230389676096,825453670,634645062828146348,2266012770497242894086255374140612,205234,20905059435363221456,2182715686150892854181613442855243,1027541268492241619844457934521929909830784,-1,256493689026555015,202670,208430,1183177194313,1000000000000000000000,0,0
16229293,1181133174212,998306390345534400053,175999591,152055205202383935,2270435262486917424056195007509857,205273,22227312718227892744,2182943499819872818882169549269372,1027738088574684734465475778290005927962009,-1,262888341914350657,202430,208030,1202450284124,983632042880911604171,825453670,634645062828146348
16231693,1159895870568,1015787340243540231740,270059804,238503940906015574,2275703596294866001551435142483199,205319,22737464002634911280,2183065251251198923921514215795779,1027849987718588721288910282834966288550159,-1,262888341914350657,202430,208030,1202450284124,983632042880911604171,825453670,634645062828146348
16234093,1171102327316,1006552931229004931337,426070405,362302603047794900,2272920569657780836424575412085603,205295,46555465465107464655,2183267191192711091143230870573939,1028010232564246331742465106811346190008654,-1,262888341914350657,202430,208030,1202450284124,983632042880911604171,825453670,634645062828146348
16236493,1186496660972,991526850300003420087,76665125,67149225269106798,2275732877226366029629403759490668,205319,29001499457139979699,2183369517946358519595843104613451,1028099858221584071205440357113084946732029,-1,254945938364208011,202410,208190,1197478749841,985546602859109659152,1251524075,996947665875941248
16238893,1190370099726,988332440671264720789,126302441,106467604410758890,2274740167921692629443616837354464,205311,31485966568595190915,2183435770044943225007152139634739,1028152337391103935831083213707735221506276,-1,254945938364208011,202410,208190,1197478749841,985546602859109659152,1251524075,996947665875941248
16241293,1090437588686,1071648080119731979071,268876225,266649082272556278,2300631716006577619818717260285935,205537,22618611010766339865,2183626066643574305872624282408703,1028366135393823396200897558729315894880961,-1,254945938364208011,202410,208190,1197478749841,985546602859109659152,1251524075,996947665875941248
16243693,1296068562179,898378931493118426833,234938225,146699866255181471,2270824349001401756389526076262986,205276,22381477162560579800,2183939965796505454835889521331865,1028562139954972334987427352026940913246314,-1,254684775821955587,202650,208430,1180941999314,995780473541820249380,1520400300,1263596748148497526
