number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,1182951507790,1000508659752673563413,0,254457107261725,2302457180693885351454651093163492,205553,31203981017892687890,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16222093,1139040623733,1037855865060017402896,194601002,185369040326900807,2318747899162385489001287554456344,205694,17540821031132433136,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16224493,1243333559978,950001116769738588319,419636542,330090068922779715,2280425969616657314568929983238151,205361,30523448134936311091,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16226893,1283471870962,916958209074215837387,584538974,449419255991784693,2266012770497242894086255374140612,205234,20905059435363221456,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16229293,1271101787872,927096971009598112187,706140154,554476842336530172,2270435262486917424056195007509857,205273,22227312718227892744,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16231693,1256428565352,939174863383315578478,771127991,614205777649794754,2275703596294866001551435142483199,205319,22737464002634911280,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16234093,1264171301261,932794649558369661306,878918429,699740426858370783,2272920569657780836424575412085603,205295,46555465465107464655,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16236493,1256347202728,939241991236665713906,933537864,747580337895830725,2275732877226366029629403759490668,205319,29001499457139979699,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16238893,1259106802182,936966160475497237518,968901560,775592392431613116,2274740167921692629443616837354464,205311,31485966568595190915,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16241293,1187910709915,996323699795872778945,1070477076,889712363586109478,2300631716006577619818717260285935,205537,22618611010766339865,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16243693,1270015786056,927988969356194242826,1238028511,994334645272329480,2270824349001401756389526076262986,205276,22381477162560579800,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16246093,1282900713567,917425471010391610113,1308401384,1046653760882461179,2266216588496224172254804411624938,205236,22728336445874518659,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16248493,1272924673297,925600412965282320847,1534084526,1234713432581530402,2269782469176920445513960727061014,205267,24520173141659983885,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16250893,1277017650327,922243281600140903413,1568594175,1261339022591416808,2268318100384631286503934121351000,205254,24021694853194625550,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
16253293,1277105386548,922171366238503946408,1585989713,1275589336429309933,2268286731158999893110011846751513,205254,25077936307355277000,-1,181634128492569764,201350,209750,1183553852736,1000000000000000000000
