number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
18648491,296325953263509420935460,1000000000001941696120,0,0,4705106806636024133107504816,-56477,134277252253244812363549,2440808540949895184331901495783384173933,4345393370145094858923975689647192844,-1,116463312318695010421655,-59600,-53200,296325953263997104086833,1000000000000000000000,0,0
18650891,249030526109660691794108,1170923242016063986457,0,1726497394082043352,4821383204122497016787556541,-55989,158701016739052850747715,2440808540949895184331901495783384173933,4350437848170358471472936883142681353,-1,116463312318695010421655,-59600,-53200,296325953263997104086833,1000000000000000000000,0,0
18653291,202504959118553191568559,1347512464615557045999,31525601378464841366,3630188482282336312,4941514079226711177658045696,-55496,109796199940500032224973,2440900652414373496200872860962647482514,4356000050519596543804946890812405822,-1,116463312318695010421655,-59600,-53200,296325953263997104086833,1000000000000000000000,0,0
18655691,192416945217123265274362,1386969025400367759582,31525601378464841366,4028739601320828373,4968355757931148360213776974,-55388,86961756806748576574666,2440900652414373496200872860962647482514,4357164536703488436236153854820895020,-1,116463312318695010421655,-59600,-53200,296325953263997104086833,1000000000000000000000,0,0
18658091,264019212688841805201238,1082389792026311396011,139209731306955824150,738262489436923913,4985481753149497923361074352,-55319,86807854606468260537735,2441431310925843818006174433134711381552,4359978745667480575457377519003776651,-1,89267609665407388171781,-59600,-51200,270336898013062399787008,1063093665398031587328,31525601378464841366,4028739601320828373
18660491,226001227372434542117208,1237072498072512184402,269594291898657186136,2834113481520853788,5122768128562815047312090821,-54776,62200900025075660870662,2441928328456103551070459965344677724937,4367967994387963405867359071652731032,-1,89267609665407388171781,-59600,-51200,270336898013062399787008,1063093665398031587328,31525601378464841366,4028739601320828373
18662891,243774739613325682462019,1163711001954892786476,771633643887626811985,4189177705291483431,5057657204696006515144991525,-55032,112634127277226325296295,2443842070065435138899859407938442233622,4373133411756288429341765573894314565,-1,89267609665407388171781,-59600,-51200,270336898013062399787008,1063093665398031587328,31525601378464841366,4028739601320828373
18665291,307286547939313906355314,898869296817857283463,485407158457438864782,246733140004737134,4922011274515521510551887309,-55576,133565533121124897146222,2445542029349685009440448685093091556428,4373997503446687248959994205118174606,-1,97164384071204503447690,-58800,-51200,265339494531771542798336,1081288318579338491264,803159245266091653351,8217917306612311804
18667691,300151578414793899826670,926532592234408220263,804307667696595002663,1732687259160156861,4944568017769679944698315635,-55484,137724196509984742987648,2446658860595346683589855017816122187571,4379201508902344497044593709968521344,-1,97164384071204503447690,-58800,-51200,265339494531771542798336,1081288318579338491264,803159245266091653351,8217917306612311804
18670091,305940543255379385799834,904068616581110699840,922598397288136100564,1964478307994930979,4926250817174123591782628411,-55558,137724196509984742987648,2447073130184301381648322271486703843924,4380013271437377731279938902314703809,-1,97164384071204503447690,-58800,-51200,265339494531771542798336,1081288318579338491264,803159245266091653351,8217917306612311804
