block_number,timestamp,sqrt_price_x96,y/x,x/y
12701763,1624603564,2256519803982345987147549824,811183543044942,1232766626707313516421
12704163,1624636775,2256519803982345987147549824,811183543044942,1232766626707313516421
12706563,1624669303,2256519803982345987147549824,811183543044942,1232766626707313516421
12708963,1624700846,2256519803982345987147549824,811183543044942,1232766626707313516421
12711363,1624733734,2256519803982345987147549824,811183543044942,1232766626707313516421
12713763,1624765500,2256519803982345987147549824,811183543044942,1232766626707313516421
12716163,1624798329,2256519803982345987147549824,811183543044942,1232766626707313516421
12718563,1624830059,2256519803982345987147549824,811183543044942,1232766626707313516421
12720963,1624862184,2256519803982345987147549824,811183543044942,1232766626707313516421
12723363,1624894898,2256519803982345987147549824,811183543044942,1232766626707313516421
12725763,1624926352,2256519803982345987147549824,811183543044942,1232766626707313516421
12728163,1624958719,2256519803982345987147549824,811183543044942,1232766626707313516421
12730563,1624991625,2256519803982345987147549824,811183543044942,1232766626707313516421
12732963,1625023834,2238173324584938348603528308,798046621204715,1253059625126186580072
12735363,1625056396,2225227183310185375542835093,788841128610057,1267682380813493144601
12737763,1625087793,2184142153320053476700760429,759980823477236,1315822674872997486061
12740163,1625120992,2184142153320053476700760429,759980823477236,1315822674872997486061
12742563,1625153005,2158031257143920687415112330,741918659778306,1347856650887863815639
12744963,1625185603,2158031257143920687415112330,741918659778306,1347856650887863815639
12747363,1625218087,2122866758624951837475507649,717936950020963,1392879973611611795594
12749763,1625249352,2122866758624951837475507649,717936950020963,1392879973611611795594
12752163,1625281643,2122866758624951837475507649,717936950020963,1392879973611611795594
12754563,1625314804,2122866758624951837475507649,717936950020963,1392879973611611795594
12756963,1625346830,2122866758624951837475507649,717936950020963,1392879973611611795594
12759363,1625379002,2122866758624951837475507649,717936950020963,1392879973611611795594
12761763,1625411445,2122866758624951837475507649,717936950020963,1392879973611611795594
12764163,1625443091,2122866758624951837475507649,717936950020963,1392879973611611795594
12766563,1625475698,2122866758624951837475507649,717936950020963,1392879973611611795594
12768963,1625507901,2160412354724556549740966708,743556778144043,1344887208877380997758
12771363,1625540263,2209095462718418616429152036,777445223787261,1286264252970237001433
12773763,1625572439,2153540039549420958022614428,738833763964290,1353484435570993922787
12776163,1625604559,2265643863975272336296253965,817756718746663,1222857577413307771414
12778563,1625637197,2332906158630783163260437687,867032489579710,1153359317001771626046
12780963,1625669859,2427157648413344936481550042,938505459779440,1065523902476829438936
12783363,1625701910,2427157648413344936481550042,938505459779440,1065523902476829438936
