block_number,sqrt_price_x96
51756830,1600127500479230638244256289
52102430,1633884916043867816873572981
52448030,1572266807318698750970020145
52793630,1653696609628309904829146945
53139230,1698423334344983720345224865
53484830,1694792893945002780215766592
53830430,1746748803266671891937633322
54176030,1716592253305053908064700838
54521630,1864453893544554407768355077
54867230,2091144041291499819466580378
55212830,2125240263489540417842948992
55558430,2320329726084539782175145517
55904030,2439936257102102455094685359
56249630,2439680530649439388529773729
56595230,2328120044424611475895705518
56940830,2276256806982099305254708262
57286430,2576371170855051834806418925
57632030,2515279623959969295735866148
57977630,2693685927434449915352261162
58323230,2642005957886921250879189198
58668830,2735441645523451561773779195
59014430,2732684777238517980113641538
59360030,2565570105364122887217376979
59705630,2486493133178999436764109476
60051230,2487558328985391278782541986
60396830,2488793339631948675415243869
60742430,2439579914795361754471360515
61088030,2586596864452470544693921272
61433630,2687116899102327135639126197
61779230,2879293696916806175383443625
62124830,2682003245064422250745939392
62470430,2706593606290682711833833727
62816030,2594826873021912232677803679
63161630,2713479478742889066813393350
63507230,2575397206820293693264814926
63852830,2640316630044303945822755826
64198430,2567030442504847917099030644
64544030,2453263008277004681485745085
64889630,2541819107646730282546267603
65235230,2509085657308244112384977364
65580830,2434794124082651172903874132
65926430,2457836621685937312418654377
66272030,2397085116858272744584879498
66617630,2307343819159593147190177605
66963230,2288833574892085779470128079
67308830,2270621478878440052723171526
67654430,2319341269603503664750545104
68000030,2287095297149842060070055804
68345630,2270027766426854394999059541
68691230,2244971589867647987838280260
69036830,2144101222650052660496109075
69382430,2276730041873375075928070457
69728030,2306978436912152205180520056
70073630,2382918783634805003231884572
70419230,2395916747570713609913293235
70764830,2337697937821251886548256718
71110430,2483107640034381875445140608
71456030,2532143224506620505480004954
71801630,2524060600824935208046053435
72147230,2602171619228725191201905587
72492830,2506830454312743221874636189
72838430,2443826665805243848931697048
73184030,2351217069667487352217327117
73529630,2285693667785679351997928586
73875230,2252100939124696837120940111
74220830,2204822005799221040232807561
74566430,2190148144433820804332330745
74912030,2209512897885873407001441129
75257630,2183785227514085859642328814
75603230,2161524137196112489410071221
75948830,2267032524391002294514008905
76294430,2218595369391153570812434246
76640030,2162524824953425739109046620
76985630,2133052542794424222001350084
77331230,2109816667644397835899380730
77676830,2117332240745320048630429989
78022430,2128319072225060113248736154
78368030,2092769235075565885835337518
78713630,2092189338343710965271047540
79059230,2084587987347432448228213792
79404830,2095810290665661303599618691
79750430,2057671237407881117564357565
80096030,2095045186181130857923740564
80441630,2113852620226127519834855211
80787230,2138166939362456056789883918
81132830,2169682611679362694893007560
81478430,2142281145216857959036211591
81824030,2132943822618266823719526324
