block_number,timestamp,sqrt_price_x96,y/x,x/y
12582428,1623002781,4412267262951226219194225,3101447645,322430076036314970585292598
12584828,1623033962,4429650051569375613489855,3125933019,319904487371231162007185669
12587228,1623066557,4352968932045776287131773,3018644483,331274519285615390568668036
12589628,1623098564,4342600610665677289788299,3004281411,332858298939160197067171481
12592028,1623130527,4287287477125830727498663,2928235782,341502554591759988267228953
12594428,1623162482,4256946417634462003316465,2886936291,346387969529321352107385316
12596828,1623194648,4303971386479473247873461,2951070490,338860085988661016362235386
12599228,1623226229,4257428508584709782065041,2887590207,346309527430808328683322757
12601628,1623259220,4255102266189901219593335,2884435533,346688282181829577398982901
12604028,1623291398,4223123196853541875028694,2841242708,351958668361675211028821406
12606428,1623323634,4155663425238292368657082,2751196209,363478256014127853139972104
12608828,1623355271,4205933024539520062797040,2818159295,354841545605391337539704262
12611228,1623387209,4176179883176697184740311,2778428509,359915684985508475431497956
12613628,1623419380,4163725521914295538943995,2761881351,362072034570901449270837992
12616028,1623452041,4105516939099372139489171,2685199324,372411832172798506186425659
12618428,1623484106,4090316366352818091790516,2665352368,375184914387274741003400417
12620828,1623516879,4006411650035681865997955,2557125085,391064170409950829605193130
12623228,1623548359,4062011784610628335373127,2628592053,380431797645703374573810293
12625628,1623580916,4077942073555051073013257,2649249965,377465325360493116020480913
12628028,1623612546,4154963012953766045052547,2750268892,363600811145705239646073122
12630428,1623644997,4131288216481077018021974,2719016362,367780059721464816988843114
12632828,1623677372,4167010044020944622783448,2766240446,361501474481730573322692281
12635228,1623708842,4144836473970401961661066,2736879235,365379658412293810983589124
12637628,1623740901,4134185132400804958291768,2722830922,367264816893393573704977925
12640028,1623773482,4229126694714217454887516,2849326544,350960124983133558313560567
12642428,1623804617,4670720801760821616678544,3475430816,287734112098061111281807774
12644828,1623837677,4713296979531403837423142,3539080510,282559268480727498341087470
12647228,1623869111,4791944637290809761107201,3658174484,273360389006529410804342595
12649628,1623902041,4654305052696527821348476,3451044197,289767369791816085512740826
12652028,1623933814,4522103891487543210687953,3257781133,306957391910219525480934142
12654428,1623966248,4596915908965952076782824,3366463818,297047600705863282205636941
12656828,1623997277,4522069546614487466504118,3257731648,306962054598304347504070415
12659228,1624030734,4455337162207774407985811,3162292100,316226322040269461508631666
12661628,1624062760,4518873226461550098455641,3253127971,307396453171992353816935042
12664028,1624095400,4608841230342708579807947,3383953037,295512375339149838207402994
12666428,1624127279,4625919944987616397111532,3409078941,293334363124681893366575461
12668828,1624159279,4684097943287464633836073,3495366885,286093000506297352530991893
12671228,1624192144,4690524720214754785399033,3504965042,285309550314196828443003911
12673628,1624224382,4654715712127109776047053,3451653211,289716242875478141422127936
12676028,1624256769,4759314652564831645157639,3608524589,277121570142084460658222772
12678428,1624289258,4718648142796070810353780,3547121145,281918761474948158276110978
12680828,1624322137,4462800419076559735148917,3172895457,315169539479724496954959080
12683228,1624354117,4583154489208404333432004,3346338160,298834114242656217385991856
12685628,1624386546,4585282916886405609801838,3349446976,298556748969415540913462127
12688028,1624418484,4580320726776856682346288,3342201360,299203995297279156154732699
12690428,1624452033,4604446775244520910183459,3377503026,296076714751106191903083138
12692828,1624483383,4634979680680902529885414,3422445189,292188755341963198932037009
12695228,1624515366,4705631550321731340935510,3527578366,283480591002127718571001124
12697628,1624548298,4656803441727589164262809,3454750171,289456531008881452342795180
12700028,1624580148,4784581551753910731275967,3646941150,274202395615843705073222802
12702428,1624612782,4738810043134650800409585,3577498274,279524942686247680353178557
12704828,1624645701,4913397645637796758468699,3845959081,260013166791152347156238503
12707228,1624677861,5007335144936056989540329,3994423909,250348992190553203500765446
12709628,1624709821,5029362535570222862551733,4029644345,248160858473975325482477536
12712028,1624742886,5102999269172554472724553,4148507167,241050565840808634186939564
12714428,1624774158,4983366405033935151398577,3956275009,252763015140538224399253333
12716828,1624807258,5009294905271330183455212,3997551179,250153145068715078982107010
12719228,1624838863,4982883203518997608688895,3955507822,252812039566230947526615711
12721628,1624871328,4946454994675503450075734,3897884413,256549423750190613977038933
12724028,1624903738,4900375331267466247782616,3825599679,261396926994043696436644331
12726428,1624935500,4948052443540418432465008,3900402449,256383799640056066429774718
12728828,1624968022,5124313466225830908655516,4183234493,239049472764040913639502254
12731228,1625000714,5117678819401626065509664,4172409115,239669690204863815230161100
12733628,1625032859,5138818814587307213288422,4206950902,237701847084689366312932548
12736028,1625064939,4950883098252318973828031,3904866367,256090709902646970658804109
12738428,1625096557,4929925629405310791113236,3871877139,258272657964109020764049610
12740828,1625130346,4959062517136275148547201,3917779587,255246620641499605628528688
12743228,1625161746,4993545633070905783183948,3972454014,251733562295681744297216677
12745628,1625194434,4992708617981124633462846,3971122405,251817974369389905522189513
12748028,1625226755,5014091559346342834332152,4005210561,249674763603520818739796586
12750428,1625258503,4969300408042551891604093,3933972649,254195971660910243405202688
12752828,1625291049,4972998297142573534970992,3939829734,253818075276244920080599604
12755228,1625323592,4919629207675143966428934,3855720770,259354880618079612647883731
12757628,1625355643,4954157688788542121138059,3910033553,255752281008622843395840291
12760028,1625387965,4883065235453668363385452,3798620302,263253476393387632665793086
12762428,1625420322,4821515413207111304932407,3703462499,270017584968125797133932312
12764828,1625452359,4872727751681471347657825,3782553914,264371644855820024671299371
12767228,1625484931,4856799529918683423328708,3757865121,266108539769487910792953656
12769628,1625516389,4863294490022845304909309,3767922569,265398235151471871979437165
12772028,1625549178,4835380006439074296463529,3724792235,268471350053703062447454871
12774428,1625581712,4912594040764057477961057,3844701141,260098239973966288580244162
12776828,1625613644,4853192456262023113731574,3752285371,266504250377282938270421863
12779228,1625646304,4785773750554312413255030,3648758831,274065797800600102199519691
12781628,1625678304,4795520882955719233071375,3663636740,272952825557699806231335042
12784028,1625710811,4791338481608621834070220,3657249063,273429559424020009653906362
12786428,1625743665,4818534401126235003401459,3698884414,270351783963585081088181308
12788828,1625775575,4841720894824698487011111,3734567673,267768611405746509282762701
12791228,1625807624,4838141605582233124961269,3729048083,268164951950822029665955369
12793628,1625840232,4841075254446794621202295,3733571735,267840039237922932261538561
12796028,1625871972,4820717590786976327082671,3702236966,270106967539797397182598386
12798428,1625903695,4816072052688555893849661,3695105001,270628304129211942792096045
12800828,1625935960,4811742427166554327432139,3688464224,271115548171303070770952935
12803228,1625968732,4769072348195707143050669,3623336377,275988728605972318203014028
12805628,1626001293,4759906255598780666888102,3609421755,277052688180519929292663112
12808028,1626033311,4783304214481005688207751,3644994166,274348861605283567962780657
12810428,1626065782,4821340263225825336170888,3703193434,270037203787070659404285387
12812828,1626098294,4809577842464164402939470,3685146425,271359638036635138588828258
12815228,1626130181,4793399672442145664453954,3660396372,273194457203991568156870635
12817628,1626163611,4798561084720175753666110,3668283461,272607068300930302616000590
12820028,1626195909,4770249792195009861106868,3625125741,275852500422274318015166470
12822428,1626228584,4749011560685367450265126,3592917839,278325317975633230170282221
12824828,1626261342,4774765224157130283914644,3631991945,275331007101118447001401595
12827228,1626294236,4804226866818537238749593,3676951045,271964458531429808579352461
12829628,1626326442,4745161876752364278637534,3587095157,278777104100112948300021916
12832028,1626358763,4776948021778316244474067,3635313455,275079442908727110025784557
12834428,1626390833,4741980143884734282439902,3582286321,279151332526889885081299172
12836828,1626423925,4737840854365531253573069,3576035072,279639315573245026608061186
12839228,1626456369,4724924306691159985912864,3556563306,281170307952336502006299448
12841628,1626488693,4703306991633863474301022,3524094015,283760874637165433283708805
12844028,1626521792,4738771831606425846444391,3577440579,279529450711248277591587077
12846428,1626554242,4775419564046544660014499,3632987479,275255559172820369634970602
12848828,1626586736,4641706375116309486377179,3432386311,291342497432539142882043733
12851228,1626619697,4644076557617386643809578,3435892547,291045190244129016995128980
12853628,1626651849,4679985546687198330200787,3489232075,286596012677087407549410424
12856028,1626684163,4629202023627802792113060,3413918123,292918565698126439806242535
12858428,1626716630,4609926608097180452007776,3385547061,295373238647176495414842499
12860828,1626748885,4580082717353538753449774,3341854024,299235093100523770813275954
12863228,1626781730,4554457068933482974924304,3304563167,302611858047136552133578870
12865628,1626813821,4542412230725477157719251,3287107608,304218820693989279343361247
12868028,1626846769,4569451233832941251964147,3326357522,300629139647845707428439197
12870428,1626879070,4602990541850902215833181,3375366980,296264082076195460085943010
12872828,1626911061,4556914062753256552581030,3308129555,302285621942638821471428134
12875228,1626944374,4507478795511600265207307,3236742998,308952549095774702591941777
12877628,1626976710,4488393591133203846507363,3209391511,311585544042401500575290828
12880028,1627008049,4457637082787130140916212,3165557800,315900091920608747058733219
12882428,1627040344,4427993772664087643776148,3123595837,320143850928048217910337802
12884828,1627072938,4400580254647295944271383,3085039464,324144962056148271042019966
12887228,1627105503,4348786168361120662918232,3012846045,331912080824561349267350300
12889628,1627138206,4334298404367418583653476,2992805191,334134678397114555125081644
12892028,1627170067,4317143893394070922741519,2969161912,336795375138841535833361451
12894428,1627202606,4291732712889279266916870,2934311160,340795486733588267441957314
12896828,1627235354,4273109448725688291594014,2908900497,343772501339017097359311977
12899228,1627267356,4273091169084053845616461,2908875609,343775442616391370071816639
12901628,1627299828,4213911274468846529461233,2828860989,353499165879302950789145333
12904028,1627332798,4211628344899875028416936,2825796691,353882500883712727088050794
12906428,1627365574,4192344942290738144355416,2799979489,357145473361001466964674611
12908828,1627399278,4165456265360404480128551,2764177900,361771215955384058312599923
12911228,1627431696,4149443064366406341853370,2742966176,364568841114284305341722157
12913628,1627464203,4135798415320807013086713,2724956397,366978349121818994008658994
12916028,1627497621,4115461813503897053737971,2698223902,370614165584543102160985897
12918428,1627529918,4096418577565393681657941,2673311007,374067961932421729635290429
12920828,1627563228,4077087154861673528137014,2648139279,377623642355255438964394440
12923228,1627595948,4119981019337780740333963,2704153017,369801558459663157441803893
12925628,1627629631,4059123382454294222149636,2624855120,380973407781835974246075722
12928028,1627662133,4050968782952617260272273,2614319278,382508750333286568068523419
12930428,1627694947,3997376885771560527498292,2545605064,392833913689920283722377133
12932828,1627727865,3997172396120588840438233,2545344625,392874108353795117232897293
12935228,1627760271,3978977466924028689694395,2522224802,396475365402421413505710186
12937628,1627793487,4010297484209014984616472,2562087821,390306683402325107106467136
12940028,1627826322,3962216893235987050947185,2501020912,399836720757495209620222479
