number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1
16219693,550185831,479822555277166974,0,2179611505870,2302457180693885351454651093163492,205553,31203981017892687890,1,1555829352071849,205340,205760,557807489,475465511876932936
16222093,174056946,799728724438520724,1482217,1428253339119496,2318747899162385489001287554456344,205694,17540821031132433136,1,1555829352071849,205340,205760,557807489,475465511876932936
16224493,1067402336,47188454373077469,3158741,2460671461314030,2280425969616657314568929983238151,205361,30523448134936311091,1,1555829352071849,205340,205760,557807489,475465511876932936
16226893,1124421500,0,3413281,2647749902338922,2266012770497242894086255374140612,205234,20905059435363221456,1,1555829352071849,205340,205760,557807489,475465511876932936
16229293,1124421500,0,3493031,2713747409114348,2270435262486917424056195007509857,205273,22227312718227892744,1,1555829352071849,205340,205760,557807489,475465511876932936
16231693,1124421500,0,3692106,2878535515575751,2275703596294866001551435142483199,205319,22737464002634911280,1,1555829352071849,205340,205760,557807489,475465511876932936
16234093,1124421500,0,3772002,2944682925184733,2272920569657780836424575412085603,205295,46555465465107464655,1,1555829352071849,205340,205760,557807489,475465511876932936
16236493,1124421500,0,3939418,3083187505604248,2275732877226366029629403759490668,205319,29001499457139979699,1,1555829352071849,205340,205760,557807489,475465511876932936
16238893,1124421500,0,3939418,3083187505604248,2274740167921692629443616837354464,205311,31485966568595190915,1,1555829352071849,205340,205760,557807489,475465511876932936
16241293,592665030,443975307889942875,4395180,3687832464706078,2300631716006577619818717260285935,205537,22618611010766339865,1,1555829352071849,205340,205760,557807489,475465511876932936
16243693,1124421500,0,5043479,4009749618676724,2270824349001401756389526076262986,205276,22381477162560579800,1,1555829352071849,205340,205760,557807489,475465511876932936
16246093,1124421500,0,5043479,4009749618676724,2266216588496224172254804411624938,205236,22728336445874518659,1,1555829352071849,205340,205760,557807489,475465511876932936
16248493,1124421500,0,5043479,4009749618676724,2269782469176920445513960727061014,205267,24520173141659983885,1,1555829352071849,205340,205760,557807489,475465511876932936
16250893,1124421500,0,5043479,4009749618676724,2268318100384631286503934121351000,205254,24021694853194625550,1,1555829352071849,205340,205760,557807489,475465511876932936
16253293,1124421500,0,5043479,4009749618676724,2268286731158999893110011846751513,205254,25077936307355277000,1,1555829352071849,205340,205760,557807489,475465511876932936
16255693,1124421500,0,5043479,4009749618676724,2269869087596540109532934287558589,205268,29040769306209328916,1,1555829352071849,205340,205760,557807489,475465511876932936
16258093,1124421500,0,5043479,4009749618676724,2267587315813470219639532896775164,205248,52934674799180299526,1,1555829352071849,205340,205760,557807489,475465511876932936
16260493,1124421500,0,5090565,4048723436972894,2268526464772877677599875107247126,205256,33919981157358144666,1,1555829352071849,205340,205760,557807489,475465511876932936
16262893,1124421500,0,5380617,4289496639904139,2276380951899290357379858535471998,205325,49644562439988786256,1,1555829352071849,205340,205760,557807489,475465511876932936
16265293,1124421500,0,5638611,4503477867501410,2270884431433260243759806907927190,205277,26634674985542752592,1,1555829352071849,205340,205760,557807489,475465511876932936
16267693,1124421500,0,5638611,4503477867501410,2269257000224747449767003218337749,205262,40454737982949317533,1,1555829352071849,205340,205760,557807489,475465511876932936
