number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,position_token_id,position_liquidity,position_tick_lower,position_tick_upper
16219693,540050347,491713838993380773,0,0,2302457180693885351454651093163492,205553,31203981017892687890,1,3632181180606829,205460,205640
16222093,0,949791207040630288,0,0,2318747899162385489001287554456344,205694,17540821031132433136,1,3632181180606829,205460,205640
16224493,1124997054,0,0,0,2280425969616657314568929983238151,205361,30523448134936311091,1,3632181180606829,205460,205640
16226893,1124997054,0,0,0,2266012770497242894086255374140612,205234,20905059435363221456,1,3632181180606829,205460,205640
16229293,294936831,689241636965268659,0,0,2270435262486917424056195007509857,205273,22227312718227892744,2,3621688413021227,205140,205320
16231693,2360539,930068420051903122,0,0,2275703596294866001551435142483199,205319,22737464002634911280,2,3621688413021227,205140,205320
16234093,156746596,802850332382053500,0,0,2272920569657780836424575412085603,205295,46555465465107464655,2,3621688413021227,205140,205320
16236493,440462950,568941383528044862,0,0,2275732877226366029629403759490668,205319,29001499457139979699,3,3615262711527944,205210,205390
16238893,495390276,523643034826263147,0,0,2274740167921692629443616837354464,205311,31485966568595190915,3,3615262711527944,205210,205390
16241293,0,933624184223528278,0,0,2300631716006577619818717260285935,205537,22618611010766339865,3,3615262711527944,205210,205390
16243693,1113572336,0,0,0,2270824349001401756389526076262986,205276,22381477162560579800,4,3593498067283712,205450,205630
16246093,1113572336,0,0,0,2266216588496224172254804411624938,205236,22728336445874518659,4,3593498067283712,205450,205630
16248493,1113572336,0,0,0,2269782469176920445513960727061014,205267,24520173141659983885,4,3593498067283712,205450,205630
16250893,655720841,380796723467242131,0,0,2268318100384631286503934121351000,205254,24021694853194625550,5,3572208840257004,205180,205360
16253293,657446354,379382359918266662,0,0,2268286731158999893110011846751513,205254,25077936307355277000,5,3572208840257004,205180,205360
16255693,570465838,450727036801326475,0,0,2269869087596540109532934287558589,205268,29040769306209328916,5,3572208840257004,205180,205360
16258093,693714188,346739267241307065,0,0,2267587315813470219639532896775164,205248,52934674799180299526,6,3560828999894171,205180,205360
16260493,642208248,388948359863850535,0,0,2268526464772877677599875107247126,205256,33919981157358144666,6,3560828999894171,205180,205360
16262893,213107036,741960276983476053,0,0,2276380951899290357379858535471998,205325,49644562439988786256,6,3560828999894171,205180,205360
16265293,877681576,188495269688156578,0,0,2270884431433260243759806907927190,205277,26634674985542752592,7,3536732033693801,205240,205420
16267693,966173913,115847010469170716,0,0,2269257000224747449767003218337749,205262,40454737982949317533,7,3536732033693801,205240,205420
16270093,823663482,232892954739759021,0,0,2271879006926403194390768592727484,205285,27835644005111215114,7,3536732033693801,205240,205420
16272493,1097049181,0,0,0,2261906885359996220194928071595333,205197,29663399384497135108,8,3496203231741993,205200,205380
16274893,723979727,305064795983710304,0,0,2269046418772473712656074338185071,205261,30471760488793203094,8,3496203231741993,205200,205380
16277293,349685327,613010777593462479,0,0,2276024844412917884940926155388337,205322,30145442851259332519,8,3496203231741993,205200,205380
16279693,431187062,541688912093785301,0,0,2277864199504929741569984152946834,205338,30318983097693550206,9,3479192341568550,205230,205410
16282093,0,899383555585961847,0,0,2291976734764730524647172976596684,205462,44527166884556337562,9,3479192341568550,205230,205410
16284493,0,899383555585961847,0,0,2294114796687310314301475091637603,205480,28481803172235453393,9,3479192341568550,205230,205410
